,agglomerative_clustering_c2,agglomerative_clustering_c3,agglomerative_clustering_c4,birch_c2,birch_c3,birch_c4,kmeans_c2,kmeans_c3,kmeans_c4,minibatch_kmeans_c2,minibatch_kmeans_c3,minibatch_kmeans_c4,spectral_clustering_c2,spectral_clustering_c3,spectral_clustering_c4,mean_shift,dbscan,optics,suspected_bot
kelly59242,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,1
D0ntCryBB,0,0,3,0,2,2,1,2,1,1,2,2,0,0,0,1,-1,-1,0
frimija26,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,-1,-1,0
Hari86,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,0
Cocochamelle,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,0
etilEnipS,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,69,0
BTCto1M,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,3,-1,-1,0
LACHATATATA,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,0
Ryujin,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,-1,0
Cesar Polska,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,0
rorro29,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,10,0
mangedisc,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,45,-1
MamieMarcell,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,50,-1
Nath020800,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
mamaPritz,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,21,-1
mangeTmort,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Malschee,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
MaloucocoPok,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,4,-1,-1,-1
Mallolo7,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Manguilangui,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
mamielili29,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
naskeim,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Nass7272,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
maniock31,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
NASH666740,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
nasbenz,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,2,-1
Narcos93,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Naquor,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
napoliposss,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Nana76250,0,0,1,0,2,2,1,2,1,1,2,3,0,0,0,0,0,-1,-1
nairobi,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Naghone93,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Naaxoo120,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,26,-1
M_Y_K_U_S,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,49,-1
Myriam0808,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
MyOhMy147,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Mylaromario,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,58,-1
ManiacduEg0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
--W&J--,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
MANIONION,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
MyBaD,0,0,3,0,2,2,0,2,3,0,2,2,1,0,0,1,0,68,-1
DurantKevin,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Druide59580,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,15,-1
Drg000,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
dReeemer,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
DrDavy11,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
draga-Sreca,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,10,-1
Dr3n0u,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,0,-1
Dr.Azouz,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,3,-1
douk94,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
doudoune0310,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,-1
Doublu,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Double-a57,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Donzuanas,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Dontlie,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
DontCryBitch,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
donsamagon,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Dominuspeace,0,0,1,1,0,1,0,2,2,0,2,3,0,0,0,0,0,52,-1
dokoty,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
doka356,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Marcbianco2b,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Marcadodo,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Marcacash45,0,0,1,0,1,0,1,1,1,1,1,3,0,0,0,0,0,-1,-1
manutchouk13,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,63,-1
manuchon26,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,49,-1
Manu877,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
manu,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
manolo94400,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ManoFriaGarc,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Mano7979,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,41,-1
myklogue,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
lEnfrDuDimch,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
mus65,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
boulijow,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
bubeliss,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,40,-1
Bubbascrub,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
BterFlatCall,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,43,-1
BriceS95,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
breyze,0,0,1,0,1,0,0,2,1,0,2,3,0,0,0,0,0,-1,-1
Breizkael,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Branko25,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Brak-night73,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Brainingman,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,52,-1
Brad1508,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,56,-1
Bouyaka183,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Boutchy49,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Bout2Chou,0,0,1,1,0,1,0,2,1,0,2,3,0,0,0,0,0,-1,-1
boul13014,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
MurciAllin,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,-1,-1
Bouchonpetit,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
BOUBOUVENDEE,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Boub6229,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
Bossniak75,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
BossintheBiz,0,0,3,0,2,2,0,2,3,0,2,2,1,0,3,1,-1,-1,-1
Cinqmille6,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Cielo005,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Chusmas10,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,53,-1
chtisuisse25,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,9,-1
chsv,1,1,0,0,2,2,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Christoufcr7,0,2,2,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
christobal45,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Christdec,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
BubleBoySifo,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Buffbuff,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,6,-1
bumblebees34,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
BUNTASI,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Leny41000,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
dusle777,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Lendormidu91,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Lenco59,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,46,-1
lemu92,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Leloutcho,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,1,-1
Lelou692,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,59,-1
LejgaCmanko,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,-1,-1
Legumineuse,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
LeFumisteee,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,0,68,-1
lefooteuxfou,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Lecuenton,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
leChirurJoin,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,55,-1
Lebzhfou,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
LeBwa,0,0,1,1,0,1,0,2,3,0,2,2,0,0,0,0,0,-1,-1
lebertoutber,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,57,-1
Learsi13,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Leandre.7626,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Lazeru93,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Laynidas,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,64,-1
Laxsss,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Lawsonlaw,0,0,3,0,2,2,0,2,3,0,2,2,1,0,3,1,0,68,-1
LawnmowerMan,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,3,-1,-1,-1
LaWinOuRien9,0,0,1,1,0,1,0,2,3,0,2,3,0,0,0,0,0,-1,-1
LaVieDesMecs,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
lauriega2,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,50,-1
byungmg,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Durmus74,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,23,-1
Concombre69,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Dutarr,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Dveesa,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FishDonker,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
fish-2013,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,1,-1,-1,-1
Filofish940,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
FiLeTiNho,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,27,-1
filaievie,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
fiish1,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Fifamax,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Fevzi1973,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,3,-1
fesacar,0,0,3,0,2,2,1,2,1,1,2,2,0,0,0,0,0,-1,-1
FerryLacombe,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
fernantyson,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Fernandy77,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Ferl69,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
fenjih,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FemurMarket,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Felon62,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
FefePKR,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,38,-1
FeeLiT0,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,41,-1
Federer4666,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,61,-1
fulljotas8s,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Fullayah,0,0,3,0,2,2,0,2,3,0,2,2,1,0,0,1,0,68,-1
FT89,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FsherT,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FRESH-EV,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,46,-1
freddy006,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Fredddoxxx21,0,2,2,1,0,1,0,2,3,0,2,0,1,0,0,0,0,-1,-1
Freanjaille3,1,1,0,0,2,2,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Freaak,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
fratedu13,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
FishOrNot2,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
FitJ9,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
fizryk,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Maximous2,0,0,1,1,0,1,1,1,1,1,1,3,0,0,0,0,0,-1,-1
Medhi92100,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,31,-1
mecaval,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
MctheBotaire,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
McClane3613,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Mbappewin,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
MBAPPEDOPADO,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
mazacao33,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Maymad08,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,55,-1
mayamon1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Maxwina52,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,31,-1
maxoudu06,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Maxmax64230,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
maxmadmax,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
MaximeB956,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
matenzo14210,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
MAXIME9444,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,45,-1
Maxime13200,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Maxiiiiie,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
Maxicookie0,0,0,3,0,2,2,0,2,3,0,2,2,1,1,2,1,-1,-1,-1
MaxGones37,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Maxencecayer,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
Max0b,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
MawieMawie,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
maurinouch,0,0,1,1,0,1,1,1,2,1,1,3,0,0,0,0,0,-1,-1
MatouLeMatou,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Mathieubdu43,0,0,3,0,2,2,0,2,3,0,2,2,1,0,0,1,0,-1,-1
mathiask68,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
MaterialGirl,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,67,-1
frankyXX,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Francooiis01,0,0,1,1,0,1,1,0,2,1,1,3,0,0,0,0,0,-1,-1
Francky62680,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,9,-1
Crispym0nk3y,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,-1,-1
MilaF15,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,22,-1
mikesinge,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,47,-1
cyremiax,0,0,1,1,0,3,1,0,2,1,1,3,0,0,0,0,0,-1,-1
Cyma38,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,9,-1
Cut62,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
CURROJIMENEZ,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,69,-1
cuncimoki,0,0,3,0,2,2,0,2,3,0,2,2,1,2,1,1,-1,-1,-1
csc78,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,26,-1
Cruzitoo34,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
crsport,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
CrownUpMamba,0,0,1,0,1,0,1,2,1,1,0,3,0,0,0,0,0,-1,-1
Croucroudile,1,1,0,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
Cristiangu29,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Crewboss,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
MimoRuidoso,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Creazi2,0,0,1,1,0,1,0,0,2,0,2,3,0,0,0,0,0,-1,-1
Createmyname,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
crAzygAot,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Crack-for-QQ,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Coviddix9,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
CouperMan,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
couki2020,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Couchetoibat,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,53,-1
CosmicShark,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,28,-1
corey94,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Corazon29,0,0,1,1,0,3,0,0,2,0,1,3,0,0,0,0,0,-1,-1
COOGUIZ,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
chrisnic11,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Mille9Cent6,0,0,3,0,2,2,0,2,3,0,2,2,1,1,2,1,-1,-1,-1
Minerax,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
franck689,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Mohhhhhhhh76,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Franck62880,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Francismadi,0,0,3,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
foyonero10,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,13,-1
Fouz93,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Fouinouze,0,0,1,1,0,1,0,0,2,0,2,0,0,0,0,0,0,-1,-1
FOSTHEDOG,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
FoRzA_JuvEEE,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
ForeverSchum,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
forestieris,0,2,2,1,0,3,0,0,2,0,1,0,1,0,0,0,0,-1,-1
Molie,0,0,1,1,0,3,0,0,2,0,1,0,0,0,0,0,0,-1,-1
mokuso,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,25,-1
MoiViici,0,2,2,1,0,1,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Moibebert,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
MODUL0R,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,-1,-1,-1
MiNinie,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,4,-1,-1,-1
MoDe0495,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Mobiltoz,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Mmo-91,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Mmarcas,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
MKUltraSun,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,22,-1
misterkan05,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,47,-1
miss.tiKK,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Mirouf131313,0,2,2,1,0,1,0,0,3,0,2,0,1,0,3,0,-1,-1,-1
Mirotic,0,0,1,1,0,1,0,2,3,0,2,3,0,0,0,0,0,-1,-1
Miri93300,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,20,-1
Mireyyy,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
miraise974,0,0,1,0,2,2,0,2,3,0,2,2,1,0,0,0,0,-1,-1
Minke_Whale,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,16,-1
christ-40250,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
chopine82,0,0,3,0,2,2,1,2,1,1,0,2,0,0,0,0,0,69,-1
chrislubo,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Zygis14,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
PALM31,0,2,2,1,0,3,0,0,2,0,2,0,1,0,0,0,0,56,-1
Paketoth38,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,62,-1
Painsdepices,0,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,-1,-1
Pacemaker07,0,2,2,1,0,1,0,0,2,0,2,0,1,0,0,0,0,58,-1
Pablomm11,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Pablodepopo,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,7,-1
Pablo1.618,0,2,2,1,0,1,0,2,3,0,2,2,1,0,3,1,0,-1,-1
SM1811,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,13,-1
Slttoi30,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,40,-1
Sligowigowi,0,0,1,1,0,1,0,1,1,0,1,3,0,0,0,0,0,-1,-1
SleepyBaze,0,2,2,1,0,1,0,0,3,0,2,0,1,0,0,0,0,-1,-1
Slataman,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
SKZD,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Skyzfluz,0,0,1,1,0,1,0,2,3,0,2,3,0,0,0,0,0,-1,-1
SkyNet3,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,-1,-1
Skymindus,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
skipp33,0,0,1,1,0,1,0,0,2,0,1,3,0,0,0,0,0,1,-1
Skill&Luck,1,1,0,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Skenderx,0,0,1,1,0,1,1,1,1,1,0,3,0,0,0,0,0,-1,-1
Sixtrois6303,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
SirYourALLin,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Sinley777,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
Sinhaya77,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,11,-1
Simomaroc1,0,0,1,0,1,0,1,1,1,1,0,3,0,0,0,0,0,-1,-1
_Ryuk_,0,0,1,0,1,0,1,1,0,1,0,3,0,0,0,0,0,-1,-1
_nursy_,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,-1,-1
_n0mak_,0,0,3,0,2,2,1,2,1,1,2,2,0,0,0,0,0,69,-1
_killelky,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,0,-1,-1,-1
_DaDDy_,0,0,1,0,2,2,1,2,1,1,2,2,0,0,0,0,0,-1,-1
PALMI57,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,13,-1
pamaga87,1,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,38,-1
